w1,w2,w3,alpha,beta,pi0,regression_mae,full_model_mae,full_model_rmse,full_model_mape,volatility_mae,volatility_rmse,volatility_mape,sample_count,validation_count,price_rank,volatility_rank
0.18,0.76,0.06,1.1844320807343898,3095.1078758390995,655.978721400114,99.12126585820928,98.90372216262666,118.50142827024872,0.013044316085449943,98.90372216262666,118.50142827024872,0.7489337912336045,158,241,59,59
0.1,0.78,0.12,1.1756094305972085,3137.5041029292274,625.585474387437,98.62938658410565,98.92798488985382,117.87473107384805,0.01307549165602849,98.92798488985382,117.87473107384805,0.7499864622793772,158,241,60,60
0.22,0.78,0.0,1.1904236442760074,3060.0823411518236,678.5217436021553,99.44128604428246,98.93747333646063,119.08723151450818,0.013030398158761855,98.93747333646063,119.08723151450818,0.7486368156859222,158,241,61,61
0.06,0.82,0.12,1.1728437921447987,3144.498090264814,617.8699265845034,98.39725204856487,98.94236655467809,117.67205479794842,0.013084983788028996,98.94236655467809,117.67205479794842,0.7506210167876246,158,241,62,62
0.2,0.76,0.04,1.1868292386353971,3082.759505017838,664.5092387114237,99.29298109218858,98.94939455695281,118.80793507028999,0.013043221081067853,98.94939455695281,118.80793507028999,0.7490011805686668,158,241,63,63
0.12,0.76,0.12,1.1769434997232666,3134.332007909614,629.2998726685928,98.78651137211348,98.9744699396505,118.06572471542638,0.013078104142212853,98.9744699396505,118.06572471542638,0.75005213883872,158,241,64,64
0.0,0.9,0.1,1.1696202188329667,3146.8110119472876,610.5823485236692,98.22457007143225,98.9775918754604,117.65681749707697,0.013095077462039948,98.9775918754604,117.65681749707697,0.7515617859274751,158,241,65,65
0.04,0.84,0.12,1.1714094213246353,3148.3322234414263,613.8641884715494,98.3648805318918,99.01262698657658,117.65628911744737,0.013098437206936278,99.01262698657658,117.65628911744737,0.7513335762026476,158,241,66,66
0.16,0.74,0.1,1.180763039667191,3118.151930323003,641.8942816606695,99.07814682595887,99.02546039260497,118.44980338614216,0.013073071966912996,99.02546039260497,118.44980338614216,0.750006268095042,158,241,67,67
0.18,0.74,0.08,1.1832016970994568,3105.5761761151352,650.4964205452548,99.22511693072516,99.04527931607895,118.66503528959984,0.013068092485087038,99.04527931607895,118.66503528959984,0.7499116749397605,158,241,68,68
0.22,0.76,0.02,1.189198217357874,3070.579535126743,672.986664842224,99.51780887983361,99.05166056318339,119.19073812698133,0.013050268509651932,99.05166056318339,119.19073812698133,0.7494280518862704,158,241,69,69
0.14,0.74,0.12,1.1782533893069418,3131.321122778491,632.9509172979238,98.98052387131378,99.05508606987893,118.32510614237027,0.013085445258622467,99.05508606987893,118.32510614237027,0.7504575879096406,158,241,70,70
0.2,0.74,0.06,1.1856013678450839,3093.2352169080104,659.0085331527366,99.39583290009423,99.0804520713341,118.95339828049683,0.013065615615051448,99.0804520713341,118.95339828049683,0.7499756355669801,158,241,71,71
0.02,0.86,0.12,1.1699369934036485,3152.433243097609,609.7309788736607,98.34940888673692,99.09227061710088,117.69933642414844,0.01311288145833318,99.09227061710088,117.69933642414844,0.7520879533758095,158,241,72,72
0.08,0.78,0.14,1.1730284635903805,3151.1348205299137,616.4855694443718,98.62436149735048,99.12221889356807,117.95026411592788,0.0131114527774602,99.12221889356807,117.95026411592788,0.7515191834889813,158,241,73,73
0.1,0.76,0.14,1.1743932941841073,3147.7615673001474,620.2830465362808,98.74817357027162,99.13073153372689,118.08572321155498,0.013108432203745293,99.13073153372689,118.08572321155498,0.7513059593749717,158,241,74,74
0.12,0.74,0.14,1.1757236404643916,3144.6143406113483,623.9803986495817,98.90416624074183,99.16456343680922,118.27855952706281,0.0131090400882282,99.16456343680922,118.27855952706281,0.751250965425653,158,241,75,75
0.06,0.8,0.14,1.1716292971670141,3154.732789956737,612.5891304929714,98.54768937145799,99.16476762249481,117.87190705747201,0.01312088883883625,99.16476762249481,117.87190705747201,0.7520599910705728,158,241,76,76
0.22,0.74,0.04,1.1879692813559248,3081.0846390599263,667.4552307439353,99.59373326950848,99.16513538762477,119.31696602614322,0.013070052268881357,99.16513538762477,119.31696602614322,0.7502149116108854,158,241,77,77
